*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 165    40    39    31.3     0.0    31.3    0.00    3.18      3.2    40.9    21.1    10.3    4.02    2.22     0.0    1.7    0.0    2.80    0.93
 2015 166    41    40    33.4     0.0    33.4    0.00    3.16      3.3    44.2    22.0    11.4    4.05    2.23     0.0    1.7    0.0    2.90    1.00
 2015 167    42    41    34.8     0.0    34.8    0.00    3.08      4.1    45.1    22.4    12.4    4.02    2.17     0.0    1.7    0.7    3.07    1.06
 2015 168    43    42    37.3     0.0    37.1    0.00    3.09      4.1    47.8    23.5    13.6    4.04    2.20     3.7    1.7    0.0    3.08    1.16
 2015 169    44    43    39.9     0.2    39.0    3.64    3.12      4.1    51.3    24.3    14.7    4.10    2.23     3.6    1.7    0.0    3.20    1.26
 2015 170    45    44    41.3     0.8    39.1    3.62    3.04      5.0    52.1    24.2    14.9    4.06    2.16     3.5    1.7    0.8    3.37    1.33
 2015 171    46    45    43.6     1.6    39.6    3.59    3.03      5.0    54.5    24.3    15.3    4.05    2.17     3.5    1.7    0.0    3.47    1.42
 2015 172    47    46    46.7     2.8    40.2    3.58    3.06      5.0    57.7    24.5    15.7    4.08    2.20     3.5    1.7    0.0    3.51    1.51
 2015 173    48    47    49.3     4.2    40.0    3.58    3.07      5.0    60.4    24.3    15.7    4.09    2.21     3.5    1.7    0.0    3.59    1.60
 2015 174    49    48    50.7     6.1    38.8    3.58    2.95      6.0    61.1    23.6    15.2    4.00    2.10     3.4    1.7    0.8    3.69    1.66
 2015 175    50    49    52.5     7.8    37.6    3.58    2.92      6.3    62.8    22.8    14.8    3.96    2.07     3.4    1.6    0.4    3.78    1.71
 2015 176    51    50    54.4     9.5    36.5    3.58    2.88      6.4    65.1    22.1    14.4    3.93    2.05     3.4    1.6    0.1    3.93    1.77
 2015 177    52    51    56.1    11.4    35.3    3.57    2.83      7.4    65.8    21.4    14.0    3.88    2.00     3.3    1.6    0.9    4.02    1.81
 2015 178    53    52    57.8    13.1    34.2    3.57    2.80      7.8    67.5    20.7    13.6    3.85    1.98     3.3    1.6    0.3    4.11    1.86
 2015 179    54    53    59.4    14.8    33.2    3.56    2.76      7.8    69.3    20.0    13.2    3.81    1.95     3.3    1.6    0.1    4.24    1.90
 2015 180    55    54    61.2    16.9    32.0    3.56    2.72      7.9    71.3    19.2    12.7    3.77    1.92     3.3    1.5    0.1    4.34    1.95
 2015 181    56    55    62.5    19.0    30.8    3.56    2.65      9.0    71.7    18.5    12.3    3.70    1.85     3.2    1.5    1.0    4.43    1.99
 2015 182    57    56    64.0    20.9    29.7    3.57    2.60      9.8    72.7    17.8    11.9    3.65    1.82     3.2    1.5    0.8    4.56    2.04
 2015 183    58    57    65.6    23.3    28.5    3.57    2.56     10.0    74.4    17.0    11.5    3.60    1.79     3.1    1.5    0.2    4.66    2.08
 2015 184    59    58    67.2    25.8    27.4    3.57    2.51     11.2    74.9    16.3    11.1    3.55    1.75     3.1    1.4    1.1    4.77    2.12
 2015 185    60    59    68.8    28.3    26.3    3.57    2.47     11.8    76.1    15.6    10.7    3.50    1.72     3.0    1.4    0.6    4.86    2.16
 2015 186    61    60    70.1    30.8    25.3    3.57    2.42     11.9    77.5    15.0    10.3    3.45    1.69     3.0    1.4    0.1    4.94    2.21
 2015 187    62    61    71.3    33.2    24.3    3.57    2.38     12.0    78.7    14.3     9.9    3.40    1.66     2.9    1.4    0.1    5.02    2.24
 2015 188    63    62    71.8    35.1    23.3    3.57    2.33     12.0    79.3    13.7     9.6    3.35    1.63     2.8    1.3    0.0    5.10    2.32
 2015 189    64    63    71.8    36.1    22.6    3.57    2.30     12.0    79.3    13.3     9.3    3.31    1.61     2.8    1.3    0.0    5.16    2.39
